listing_id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15420,Georgian Boutique Apt City Centre,60423,Charlotte,"Old Town, Princes Street and Leith Street",55.95689155,-3.187676705,Entire home/apt,80,3,14/11/2018,2.58,1,268
24288,"Cool central Loft, sleeps 4, 2 double bed+en-suite",46498,Gordon,Meadows and Southside,55.94264644,-3.184669708,Entire home/apt,115,2,04/11/2018,1.73,2,66
33821,Stunning Central Edinburgh Festival Entire Flat,146109,Iona,Broughton North and Powderhall,55.96477241,-3.189863969,Entire home/apt,85,2,28/08/2018,2.02,2,122
38628,Edinburgh Holiday Let,165635,Trish,Joppa,55.94308102,-3.095247601,Entire home/apt,46,4,31/10/2018,0.81,1,278
44552,Double room - spacious Leith flat,195950,Shaun,South Leith,55.96600008,-3.172408618,Private room,32,1,22/10/2018,1.71,1,81
47220,"Bright, Clean & Cosy 1 Bedroom Flat",188704,Rachael,Meadowbank and Abbeyhill North,55.95865503,-3.170911373,Entire home/apt,70,2,12/08/2018,0.98,1,46
47616,"City flat, close to nature and the Fringe",216203,Ben,"Canongate, Southside and Dumbiedykes",55.94731896,-3.17851231,Private room,100,2,31/08/2018,0.91,1,0
48645,Large Sunny Room on Royal Mile,221474,Mark,"Old Town, Princes Street and Leith Street",55.95113283,-3.183796881,Private room,50,1,16/11/2018,7.34,1,280
51505,Superb City Centre Apartment,236828,Francois,New Town West,55.95502874,-3.19834292,Entire home/apt,175,3,29/04/2018,0.06,6,0
54137,"Penthouse Loft 'share',dbl+en-suite",46498,Gordon,Meadows and Southside,55.94322056,-3.185102446,Private room,60,2,30/07/2017,0.45,2,0
54188,The Four Sisters Boatel,253850,Natalie,Tollcross,55.94257347,-3.208014451,Entire home/apt,150,1,15/10/2018,0.37,1,280
55881,Lovely central apartment sleeps 6,264345,Susie,Hillside and Calton Hill,55.96049027,-3.178279066,Entire home/apt,139,2,05/11/2018,2.2,1,259
58682,Beautiful Apartment in Edinburgh,281109,Rona,Deans Village,55.95471321,-3.216123662,Entire home/apt,190,2,28/10/2018,1.14,4,152
67706,Lovely central flat in New Town,334476,F,New Town East and Gayfield,55.95750123,-3.190034925,Entire home/apt,85,5,24/06/2018,0.48,1,17
74877,Stunning One Bedroom Loft Apartment With Balcony,394949,Derek,North Leith and Newhaven,55.97737777,-3.180640701,Entire home/apt,64,2,29/10/2018,0.53,1,147
85620,Top Rated Unique Apartment in Leith,334208,Carrie,Leith (Albert Street),55.96164283,-3.176272234,Entire home/apt,79,2,11/11/2018,3.87,2,300
87097,Double Room in Comfortable Family Home,477325,Juliet,Siverknowes and Davidson's Mains,55.9656411,-3.275115213,Private room,30,1,29/10/2018,1.28,3,292
